,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Avions,,Model1,Model2,Model3,Model4,Model5,,Model2,,,,,,Model3,,,,,,Model4,,,,,,Reference
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cessna 172,,330.7,30.4,227.86,558.33,30.4,,270.35,,,,30.4,,336.11,30.4,113.48,497.99,30.67,,336.11,30.14,113.48,479.99,30.67,,
Belugar XL,,1266.07,26.58,430.17,1722.82,26.56,,1233.64,,,,26.58,,1272.2,26.58,170.88,1469.88,26.84,,1277.2,26.58,170.88,1469.65,,,
Dassault Rafale,,496.69,75.96,142.41,714.07,75.96,,492.61,,,,75.96,,498.01,75.91,268.23,842.2,76.15,,495,,,,,,
Airbus A30,,969.24,76.26,254.74,1300.24,76.26,,968.18,,,,76.26,,971.72,76.26,269.41,1317.4,76.36,,,,,,,,
C - 130,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Jet ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciruss ,,,,,,,,,,,,,,,,,,,,,,,,,,
Data1,,,,,,,,,,,,,,,,,,,,,,,,,,
Data2,,,,,,,,,,,,,,,,,,,,,,,,,,
